Place,Address,Coordinates,Place ID
Lawn Medical Centre,"Guildford Ave, Lawn, Swindon SN3 1JL, United Kingdom","{'lat': 51.5476848, 'lng': -1.7614115}",ChIJ6w2sPalFcUgRyXLqyw00u6w
Voyage Care: Millstream House,"4 Mill Rd, Rochester ME2 3BT, United Kingdom","{'lat': 51.4016914, 'lng': 0.4969499000000001}",ChIJq2jHmEPM2EcRFpN-rCEifwc
Pain Management Solutions,"3 Vine Terrace, Hucknall, Nottingham NG15 7HN, United Kingdom","{'lat': 53.0371521, 'lng': -1.2012269}",ChIJx_GOsgHAeUgRwR_NAr8DIfA
The Croft Shifa Health Centre,"Belfield Rd, Rochdale OL16 2UP, United Kingdom","{'lat': 53.622198, 'lng': -2.1416851}",ChIJry7P3DC5e0gRY4ZqOe5hPAI
Scunthorpe General Hospital,"Cliff Gardens, Scunthorpe DN15 7BH, United Kingdom","{'lat': 53.5869761, 'lng': -0.6673253}",ChIJ1xViR-HkeEgRkPqKgd9sL3w
George Eliot Hospital,"College St, Nuneaton CV10 7DJ, United Kingdom","{'lat': 52.5116788, 'lng': -1.4761086}",ChIJWTnqpwhOd0gRzOOtFMunwhs
Holme Valley Memorial Hospital,"Huddersfield Rd, Thongsbridge, Holmfirth HD9 3TS, United Kingdom","{'lat': 53.5788537, 'lng': -1.7840872}",ChIJ_4ff8kTae0gRRnWxGZnqJP0
Pain Management Solutions,"3 Vine Terrace, Hucknall, Nottingham NG15 7HN, United Kingdom","{'lat': 53.0371521, 'lng': -1.2012269}",ChIJx_GOsgHAeUgRwR_NAr8DIfA
St Hugh's Hospital,"Peaks Ln, Grimsby DN32 9RP, United Kingdom","{'lat': 53.5504927, 'lng': -0.0717085}",ChIJBVepPziDeEgRk8ewinPO2Ug
Pain Management,"Nuffield Health Hospital, Longden Rd, Shrewsbury SY3 9DP, United Kingdom","{'lat': 52.69201380000001, 'lng': -2.7715547}",ChIJY6ls87WfekgR3tevDVGkaZQ
Irish World Heritage Centre Manchester,"1 Irish Town Way, Cheetham Hill, Manchester M8 0AE, United Kingdom","{'lat': 53.5005, 'lng': -2.2297321}",ChIJ_5dQMEuwe0gRJdO59UpIOkU
Borough Green Medical Practice,"Quarry Hill Rd, Borough Green, Sevenoaks TN15 8RQ, United Kingdom","{'lat': 51.2889191, 'lng': 0.3035087}",ChIJFQYy-5VL30cRk-z-ewq_iaM
Nuffield Health The Holly Hospital,"High Rd, Buckhurst Hill IG9 5HX, United Kingdom","{'lat': 51.6244266, 'lng': 0.0320593}",ChIJZexZIemg2EcR9bPpzZhL620
Nuffield Health Parkside Hospital,"53 Parkside, London SW19 5NX, United Kingdom","{'lat': 51.4357845, 'lng': -0.2238555}",ChIJ948V4y0PdkgR0V27hfs56xA
Highgate Private Hospital,"17-19 View Rd, London N6 4DJ, United Kingdom","{'lat': 51.5764997, 'lng': -0.1568464}",ChIJmybxDUcadkgRSOVAjdPYIiM
Spire Claremont Hospital,"401 Sandygate Rd, Sheffield S10 5UB, United Kingdom","{'lat': 53.37559109999999, 'lng': -1.5351724}",ChIJR8tMDvyBeUgRQCQQTCMKwtU
Midland Eye,"50 Lode Ln, Birmingham, Solihull B91 2AW, United Kingdom","{'lat': 52.4196111, 'lng': -1.7758265}",ChIJp0bsgFi3cEgRwCnabVOSGVQ
South Tyneside District Hospital,"Harton Ln, South Shields NE34 0PL, United Kingdom","{'lat': 54.9714091, 'lng': -1.4277704}",ChIJm8ZpfGpvfkgRLxgOPacduDg
Solent NHS Trust,"HighPoint Venue, Bursledon Rd, Southampton SO19 8BR, United Kingdom","{'lat': 50.9017822, 'lng': -1.3307164}",ChIJ4TMh7iJeeUgR_Qj23VwMKhY
Royal Surrey County Hospital,"Egerton Rd, Guildford GU2 7XX, United Kingdom","{'lat': 51.2411243, 'lng': -0.6085178}",ChIJaeJZGyDRdUgRBrjYCI_PGGg
"Barking, Havering And Redbridge University Hospitals Nhs Trust","4 Lyon Rd, Romford RM1 2BA, United Kingdom","{'lat': 51.5685497, 'lng': 0.1832033}",ChIJ2zeizTK72EcRk7ZNeECSFmE
Hinchingbrooke Hospital,"Parkway Hinchingbrooke, Huntingdon PE29 6NT, United Kingdom","{'lat': 52.3328553, 'lng': -0.2026619}",ChIJ0UEB5M7Cd0gRlT49k6Ifi10
Lewisham And Greenwich Nhs Trust,"32 Rushey Grn, London SE6 4JF, United Kingdom","{'lat': 51.4496401, 'lng': -0.017708}",ChIJ__9PgBQCdkgRJRGTfk-PTfE
Derriford Hospital,"Derriford Rd, Plymouth PL6 8DH, United Kingdom","{'lat': 50.4166098, 'lng': -4.1157411}",ChIJBUJqDBTtbEgRTbl_7TJcPyI
The Robert Jones and Agnes Hunt Orthopaedic Hospital,"Gobowen, Oswestry SY10 7AG, United Kingdom","{'lat': 52.88446709999999, 'lng': -3.0335905}",ChIJ1yqdRHu6ekgRrefqLuUMlcE
Northamptonshire Health Care N H S Foundation Trust,"Bevan House Kettering Parkway, Kettering NN15 6XR, United Kingdom","{'lat': 52.3751782, 'lng': -0.712426}",ChIJLzv5_Wufd0gRlAvr4VhW1xU
"Southend University Hospital, Mid and South Essex NHS Foundation Trust","Prittlewell Chase, Westcliff-on-Sea, Southend-on-Sea, Westcliff-on-Sea SS0 0RY, United Kingdom","{'lat': 51.5538593, 'lng': 0.6877327999999999}",ChIJJ0ju_qDZ2EcRWxx2iTqQAjY
Bensham Hospital,"Fontwell Dr, Gateshead NE8 4YL, United Kingdom","{'lat': 54.9447057, 'lng': -1.6155638}",ChIJ30wFKAJ6fkgRy_9_tzoYZEs
Humber Teaching NHS Foundation Trust,"Trust Headquarters Willerby Hill, Willerby HU10 6ED, United Kingdom","{'lat': 53.7726879, 'lng': -0.4458797}",ChIJu1gbPnvJeEgRj5vb6Xy71a4
Sussex Partnership NHS Foundation Trust,"1 Twisleton Court, Priory Hill, Dartford DA1 2EN, United Kingdom","{'lat': 51.4459373, 'lng': 0.2105834}",ChIJQdAHuJql2EcRMHKPZxWTGaw
"Cumbria, Northumberland,Tyne and Wear NHS Foundation Trust","Jubilee Rd, Newcastle upon Tyne NE3 3XT, United Kingdom","{'lat': 55.0062592, 'lng': -1.634725}",ChIJJ_qb7s92fkgRU4Tljzjxqpk
